variable,bartlett_pvalue,mean_diff,mean_production,mean_test,stddev_diff,stddev_production,stddev_test,studentt_pvalue
jcps12,0,0.866618493,0.976595365,1.843213858,0.589353021,0.952952041,0.363599021,
e07240,1.76E-105,0.35197165,6.124889855,5.772918205,2.068514156,45.7395604,43.67104624,
e09600,1.29E-50,156.8728608,2518.721289,2675.59415,1141.803863,35433.52002,36575.32388,0.146033198
e24518,8.77E-51,25.27146923,416.8376075,442.1090767,1269.83067,39338.72937,40608.56004,0.832942683
jcps76,0,47.82941124,94.27714916,142.1065604,382.256739,1686.646973,2068.903712,
e25850,6.40E-52,499.1556189,7982.57464,8481.730259,3501.449652,107216.2316,110717.6813,0.126426898
e03210,2.19E-09,1.150027466,47.49372034,46.34369287,3.389611037,268.8642786,265.4746675,0.151208503
e19550,0,0.214917745,30.15130357,29.93638582,80.40884479,552.2431748,471.83433,0.889287479
e07600,6.48E-47,7.088044969,121.1920616,128.2801065,130.5729543,4217.560425,4348.13338,0.580835423
e02400,0.04041998,83.66531355,3888.961539,3972.626853,40.89761163,9392.509058,9433.406669,0.003031275
f8582,8.12E-21,0.004922461,0.106464987,0.111387448,0.006179494,0.308431829,0.314611323,1.35E-07
e26390,4.08E-52,258.0054468,3890.947801,4148.953248,3920.541636,119811.6968,123732.2385,0.479624073
p86421,,0,0,0,0,0,0,
e00100,3.13E-47,16170.0674,295227.6886,311397.756,52487.23202,1689364.979,1741852.211,0.001663096
jcps35,0,4481.614185,836.0601168,5317.674302,42120.41536,10918.12185,53038.53721,
e01400,3.49E-51,108.024392,2185.862652,2293.887044,1008.216771,31105.3483,32113.56508,0.254199224
f8606,4.72E-30,0.001991575,0.041406192,0.043397767,0.006294412,0.257585678,0.26388009,0.010825292
jcps77,0,441.7447872,1893.308141,2335.052928,738.8759657,3507.440965,4246.31693,
jcps28,0,331.0245437,181.1514602,512.1760039,5466.193274,5329.81496,10796.00823,3.50E-39
e20500,3.94E-175,5.879679699,45.38755552,51.26723522,255.5358698,4146.826039,4402.361909,0.646247498
jcps51,0,0.262642639,0.207666105,0.470308745,58.01267121,37.82625296,95.83892417,0.223717035
e09800,1.14E-15,0.002537805,0.122852581,0.120314776,0.126301825,7.497922991,7.371621167,0.909390982
e20400,6.79E-51,310.3860321,5414.443235,5724.829267,1955.758746,60518.58523,62474.34398,0.092189982
